RENCANA PEMERIKSAAN LEMBAGA JASA KEUANGAN (LJK) DIVISI PENGAWASAN KANTOR OJK PROVINSI KALIMANTAN SELATAN (KOBM) TAHUN 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Nama Bank / Kegiatan Pengawasan,Nama PUJK,Kota/Kab,Sektor,Jenis LJK,Jenis Kegiatan,Kuartal (Q),Bulan,Tanggal Mulai,Tanggal Selesai,Supervisor,Status Kegiatan,Kategori_PUJK,Kategori_Kota,Kategori_Sektor,Kategori_LJK,Kategori_JenisKegiatan,Kategori_Supervisor,Kategori_PUJK2,Kategori_Kota2,Kategori_Sektor2,Kategori_LJK2,Kategori_JenisKegiatan2,Kategori_Supervisor2,Kategori_PUJK3,Kategori_Kota3,Kategori_Sektor3,Kategori_LJK3,Kategori_JenisKegiatan3,Kategori_Supervisor3
1,Prudential Meeting RBB PT BPR Multidhana Bersama,PT BPR Multidhana Bersama,Kab. Banjar,Perbankan,PPE Ebus,Prudential Meeting,Q1,Januari,13 Januari 2026,13 Januari 2026,Kirbani,Selesai,Lainnya,Kab. Banjar,Perbankan,PPE Ebus,Prudential Meeting,Kirbani,Lainnya,Kab. Banjar,Perbankan,PPE Ebus,Prudential Meeting,Kirbani,Lainnya,Kab. Banjar,Perbankan,PPE Ebus,Prudential Meeting,Kirbani
2,Prudential Meeting RBB PT BPR Candi Agung Amuntai,PT BPR Candi Agung Amuntai,Kab. Hulu Sungai Utara,Perbankan,BPR,Prudential Meeting,Q1,Januari,14 Januari 2026,14 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Hulu Sungai Utara,Perbankan,BPR,Prudential Meeting,Satrio Aji Nugroho,Lainnya,Kab. Hulu Sungai Utara,Perbankan,BPR,Prudential Meeting,Satrio Aji Nugroho,Lainnya,Kab. Hulu Sungai Utara,Perbankan,BPR,Prudential Meeting,Satrio Aji Nugroho
3,PT Bank Perekonomian Rakyat Danapermata Lestari,PT BPR Danapermata Lestari,Kota Banjarmasin,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,14 Januari 2026,14 Januari 2026,Kirbani,Selesai,Lainnya,Kota Banjarmasin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kota Banjarmasin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kota Banjarmasin,Perbankan,BPR,Pemeriksaan Umum,Kirbani
4,Prudential Meeting RBB Jamkrida Kalsel,PT Jamkrida Kalsel,Kota Banjarmasin,PVML,Jamkrida,Prudential Meeting,Q1,Januari,15 Januari 2026,15 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kota Banjarmasin,PVML,Lainnya,Prudential Meeting,Satrio Aji Nugroho,Lainnya,Kota Banjarmasin,PVML,Lainnya,Prudential Meeting,Satrio Aji Nugroho,Lainnya,Kota Banjarmasin,PVML,Lainnya,Prudential Meeting,Satrio Aji Nugroho
5,Prudential Meeting RBB PT BPD Kalimantan Selatan (Post Audit Monitoring),PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Q1,Januari,15 Januari 2026,15 Januari 2026,Kirbani,Selesai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Kirbani,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Bank Umum,Prudential Meeting,Kirbani
6,16 Januari 2026 -  Isra' Miraj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT BPR Gawisabumi Mandarsari,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,19 Januari 2026,19 Januari 2026,Kirbani,Selesai,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Kirbani,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Kirbani,PT BPR Gawisabumi Mandarsari,Kota Banjarbaru,Perbankan,BPR,Pemeriksaan Umum,Kirbani
8,Dana Pensiun BPD Kalsel ,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Dana Pensiun,Pemeriksaan Umum,Q1,Januari,19 Januari 2026,19 Januari 2026,Satrio Aji Nugroho,Selesai,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Dana Pensiun,Pemeriksaan Umum,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Dana Pensiun,Pemeriksaan Umum,Satrio Aji Nugroho,PT BPD Kalimantan Selatan,Kota Banjarmasin,Perbankan,Dana Pensiun,Pemeriksaan Umum,Satrio Aji Nugroho
9,Sarana Kalsel Ventura,PT Sarana Kalsel Ventura,Kota Banjarmasin,PVML,Modal Ventura,Pemeriksaan Umum,Q1,Januari,19 Januari 2026,19 Januari 2026,Kirbani,Selesai,PT Sarana Kalsel Ventura,Kota Banjarmasin,PVML,Modal Ventura,Pemeriksaan Umum,Kirbani,PT Sarana Kalsel Ventura,Kota Banjarmasin,PVML,Modal Ventura,Pemeriksaan Umum,Kirbani,PT Sarana Kalsel Ventura,Kota Banjarmasin,PVML,Modal Ventura,Pemeriksaan Umum,Kirbani
10,Prudential Meeting RBB PT Bank Perekonomian Rakyat Tanah Laut,PT BPR Tanah Laut,Kab. Tanah Laut,Perbankan,BPR,Prudential Meeting,Q1,Januari,20 Januari 2026,20 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Tanah Laut,,BPR,Prudential Meeting,Satrio Aji Nugroho,Lainnya,Kab. Tanah Laut,Perbankan,BPR,Prudential Meeting,Satrio Aji Nugroho,Lainnya,Kab. Tanah Laut,Perbankan,BPR,Prudential Meeting,Satrio Aji Nugroho
11,PT Bank Perekonomian Rakyat Hulu Sungai Selatan Perseroda,PT BPR Hulu Sungai Selatan Perseroda,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,20 Januari 2026,20 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Hulu Sungai Selatan,Perbankan,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
12,PT Bank Perekonomian Rakyat Martapura Banjar Sejahtera Perseroda,PT BPR Martapura Banjar Sejahtera Perseroda,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,20 Januari 2026,20 Januari 2026,Kirbani,Selesai,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Banjar,Perbankan,BPR,Pemeriksaan Umum,Kirbani
13,PT Bank Perekonomian Rakyat Bank Kotabaru Perseroda,PT BPR Bank Kotabaru Perseroda,Kab. Kotabaru,,BPR,Pemeriksaan Umum,Q1,Januari,21 Januari 2026,21 Januari 2026,Satrio Aji Nugroho,Selesai,Lainnya,Kab. Kotabaru,,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Kotabaru,,BPR,Pemeriksaan Umum,Satrio Aji Nugroho,Lainnya,Kab. Kotabaru,,BPR,Pemeriksaan Umum,Satrio Aji Nugroho
14,PT Bank Perekonomian Rakyat Azaz Andifa,PT BPR Azaz Andifa,Kab. Batulicin,Perbankan,BPR,Pemeriksaan Umum,Q1,Januari,21 Januari 2026,21 Januari 2026,Kirbani,Selesai,Lainnya,Kab. Batulicin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Batulicin,Perbankan,BPR,Pemeriksaan Umum,Kirbani,Lainnya,Kab. Batulicin,Perbankan,BPR,Pemeriksaan Umum,Kirbani
